City,m1city,stratum,population,ubrth,mbrth
oakland,1,999,366926,1307,3020
austin,2,113,514013,3966,11616
baltimore,3,999,702979,8807,6015
detroit,4,999,992038,11614,7156
Newark,5,999,258751,3528.999971,1546
philadelphia,6,999,1524249,13552,8137
richmond,7,311,201108,2405,1439
corpus christi,8,313,275419,2850,4525
indianapolis,9,111,752279,7445,13395
Milwaukee,10,131,617044,6622,4526
new york,11,333,7333253,53494,65408
san jose,12,133,816884,3912,12656
Boston,13,131,547725,5487,17054
nashville,14,999,504505,4607,9980
chicago,15,999,2731743,25656,24659
jacksonville,16,999,665070,4675,8457
toledo,17,331,322550,2505,2723
san antonio,18,999,998905,8074,18636
pittsburgh,19,999,358883,2095,2147
Norfolk,20,999,241426,1892,1949
Akron,,999,221886,2013,4541
Albuquerque,,999,411994,4793,6586
Anaheim,,133,282133,2788,5782
Anchorage,,999,253649,1778,3474
Arlington,,999,286922,1238,4293
Atlanta,,999,396052,45580,79146
Aurora,,999,250717,889,2728
Baton Rouge,,999,227482,2760,3519
Birmingham,,999,264527,3795,6566
Buffalo,,333,312965,3850,5313
Charlotte,,999,437797,3806,9087
Cincinnati,,999,358170,5031,8391
Cleveland,,331,492901,6488,8431
Colorado Springs,,999,316480,2098,5483
Columbus,,999,635913,5268,11553
Dallas,,999,1022830,14072,22383
Denver,,999,493559,5505,13260
El Paso,,999,579307,5253,10729
Fort Worth,,999,451814,5864,11115
Fresno,,333,386551,4530,6065
Honolulu,,999,385881,3745,9082
Houston,,313,1702086,16647,35700
Jersey City,,999,226022,1858,1350
Kansas City,,999,443878,4734,6570
Las Vegas,,999,327878,4769,8925
Lexington,,999,237612,1656,4780
Long Beach,,333,433852,3416,5751
Los Angeles,,333,3448613,14914,21745
Louisville,,999,270308,4620,8242
Memphis,,999,614289,7172,7422
Mesa,,999,313649,2853,8273
Miami,,999,373024,4235,4019
Minneapolis,,999,354590,3275,6738
Mobile,,999,204490,2633,4831
New Orleans,,313,484149,4973,2765
Oklahoma City,,999,463201,4719,7989
Omaha,,999,345033,2742,7146
Phoenix,,999,1048949,13221,14395
Portland,,999,450777,6157,17089
Raleigh,,111,236707,2303,7704
Riverside,,999,241644,1832,3258
Rochester,,133,231170,3608,7124
Sacramento,,999,373964,5103,10955
San Diego,,999,1151977,4504,16930
San Francisco,,999,734676,2692,8688
Santa Ana,,133,290827,3225,3446
Seattle,,999,520947,2516,7549
St. Louis,,999,368215,4067,1441
St. Paul,,999,262071,2381,5100
St. Petersburg,,999,238585,2200,2527
Stockton,,999,222633,1030,2943
Tampa,,999,285523,4126,5944
Tucson,,999,434726,5056,7580
Tulsa,,999,374851,3796,8432
Virginia Beach,,999,430295,1643,4557
Washington D.C.,,999,567094,6659,8001
Wichita,,999,310236,2757,6189
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
